,Original Review,Opinion Words,Maximum scored Opinion Words,Final Opnion Words,Average,Reviewer Rating,Calculated rating
125,"Got this to replace a frayed OEM cord. The cord itself is ok ;however, the plug that looks like OEM and is stamped as such, is crap! Took 8 times longer to charge with this unit! When the cord was paired with the actual OEM plug in, it worked fine. So if you need a cord its ok; however, it is definitely not OEM and the plug is worthless. For the price and really just needing a cord it is a good veryalue but I am veryery disappointed with the false markings as OEM when it is certainly not.","[('actual', 0.0), ('got', 0.0), ('price', 0.0), ('like', 0.0), ('cap', 0.0), ('charge', 0.0), ('plug', 0.0), ('unit', 0.0), ('good', 0.7), ('disappointed', -0.75), ('fine', 0.4166666666666667), ('need', 0.0), ('veryalue', 0.0), ('really', 0.2)]","[('disappointed', 0.75)]","[('fine', 0.4166666666666667), ('good', 0.7), ('really', 0.2), ('disappointed', -0.75)]",[0.11333333333333333],Negative,Negative
126,"I received this product in a veryery timely manner which was delightful, however, I gave it as a gift and was embarrassed to find out it was a defective item. I was reimbursed for the product but would have much rather had a product that worked the first time.","[('first', 0.25), ('received', 0.0), ('embarrassed', 0.0), ('manner', 0.0), ('much', 0.2), ('timely', 0.0), ('find', 0.0), ('defective', 0.0), ('reimbursed', 0.0), ('gave', 0.0), ('gift', 0.0), ('product', 0.0)]","[('first', 0.25)]","[('first', 0.25)]",[0.125],Negative,Negative
127,It worked fine for a few days then I had to change to cord........The charger itself working fine up to this point..........Rather than send it back I bought another cord from sprint for $19.00,"[('back', 0.0), ('charge', 0.0), ('point', 0.0), ('bought', 0.0), ('spring', 0.0), ('fine', 0.4166666666666667), ('change', 0.0)]","[('fine', 0.4166666666666667)]","[('fine', 0.4166666666666667)]",[0.20833333333333334],Negative,Positive
128,"fast delivery, works well. Not veryery long.","[('well', 0.0), ('fast', 0.2), ('long', -0.05)]","[('fast', 0.2)]","[('fast', 0.2), ('long', -0.05)]",[0.05000000000000001],Positive,Negative
129,I thought this would be a Samsung product but look like a cheap counterfiet. It came crushed and is slow to charge my phone.,"[('samson', 0.0), ('look', 0.0), ('cheap', 0.4), ('like', 0.0), ('charge', 0.0), ('slow', -0.30000000000000004), ('came', 0.0), ('product', 0.0)]","[('cheap', 0.4)]","[('cheap', 0.4)]",[0.20000000000000001],Negative,Positive
130,This detachable sansung galaxy s2 travel charger is simply good. It works perfectly.  The cherry on the cake is because it is longer than the factory original l received with the phone.,"[('original', 0.375), ('received', 0.0), ('travel', 0.0), ('galaxy', 0.0), ('cherry', 0.0), ('charge', 0.0), ('good', 0.7), ('perfectly', 1.0)]","[('perfectly', 1.0)]","[('original', 0.375), ('perfectly', 1.0), ('good', 0.7)]",[0.51875000000000004],Positive,Positive
131,Had all the marking of a legit samsung product but the cord stop working after 3 days. I am not upset because it was veryery inexpensive but maybe you should spend a little more and buy a better product off amazon. When it did work it worked veryery well.,"[('little', -0.1875), ('well', 0.0), ('stop', 0.0), ('samson', 0.0), ('amazon', 0.0), ('upset', 0.0), ('buy', 0.0), ('better', 0.5), ('work', 0.0), ('expensive', -0.5), ('product', 0.0)]","[('better', 0.5)]","[('little', -0.1875), ('expensive', -0.5), ('better', 0.5)]",[-0.046875],Negative,Negative
132,"First off, the charger works just as it should and all the ports stay connected just fine.People in other reviews were complaining that the cord was too short-- about 2 or 3 feet-- and that was what I was expecting. Instead, I got a 5 foot cord which is a bit long for the purpose I was going to use it for (in my car). Now I have a long cord dangling everywhere. That extra length may be a bonus for most, but I bumped down the rating due to seller is lack of description and/or consistency. Also I am fairly certain the product image was changed because when I ordered it, a different style adapter was pictured... I was expecting a square shape with the USB port on the side; I got the longer rectangle shape with the USB port on the end... hmm. There is no way to veryerify that now.In sum: Good charger with good connectivity, looks and acts like it is an original Samsung.  Cord length and adapter style may veryary as it seems like the seller is not consistent.","[('original', 0.375), ('square', 0.0), ('short', 0.0), ('long', -0.05), ('style', 0.0), ('good', 0.7), ('different', 0.0), ('way', 0.0), ('extra', 0.0), ('shape', 0.0), ('stay', 0.0), ('connected', 0.0), ('samson', 0.0), ('foot', 0.0), ('certain', 0.21428571428571427), ('got', 0.0), ('adapted', 0.0), ('ordered', 0.0), ('lack', 0.0), ('fine', 0.4166666666666667), ('due', -0.125), ('first', 0.25), ('bit', 0.0), ('purpose', 0.0), ('sum', 0.0), ('end', 0.0), ('going', 0.0), ('side', 0.0), ('like', 0.0), ('charge', 0.0), ('people', 0.0), ('product', 0.0), ('use', 0.0)]","[('good', 0.7)]","[('first', 0.25), ('original', 0.375), ('certain', 0.21428571428571427), ('good', 0.7), ('long', -0.05), ('fine', 0.4166666666666667)]",[0.27227891156462586],Negative,Positive
133,it is a charger for dirt cheap and the shipping was not more than the item. I wish they had the batteries i needed as well for my phone. but great all an all,"[('well', 0.0), ('needed', 0.0), ('wish', 0.0), ('cheap', 0.4), ('charge', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('cheap', 0.4), ('great', 0.8)]",[0.40000000000000008],Positive,Positive
134,"although i do not use the charger, the cable is useful.  it is longer than what is given with the phone.  the additional length allows the phone to be placed in plain sight, instead of down by the wall receptical","[('wall', 0.0), ('sight', 0.0), ('plain', -0.21428571428571427), ('cable', 0.0), ('charge', 0.0), ('given', 0.0), ('use', 0.0)]","[('plain', 0.21428571428571427)]","[('plain', -0.21428571428571427)]",[-0.10714285714285714],Positive,Negative
135,"This charger does not charge the battery of my Samsung Galaxy S2 (i9100) properly.When I connect it to my S2, the screen gets frozen and the cell behaves in a unusual (abnormal) way.","[('samson', 0.0), ('way', 0.0), ('galaxy', 0.0), ('screen', 0.0), ('charge', 0.0), ('connect', 0.0), ('abnormal', 0.0)]","[('plain', 0)]",[],[0.0],Negative,Negative
136,This charger is exactly like the original one that came with my phone.  It is most definitely a good buy for the price!,"[('original', 0.375), ('price', 0.0), ('buy', 0.0), ('like', 0.0), ('charge', 0.0), ('good', 0.7), ('came', 0.0)]","[('good', 0.7)]","[('original', 0.375), ('good', 0.7)]",[0.35833333333333334],Positive,Positive
137,"works good with our phones, better actually than the charger that came with one of the phones initially , great price","[('price', 0.0), ('charge', 0.0), ('good', 0.7), ('better', 0.5), ('came', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('great', 0.8), ('good', 0.7), ('better', 0.5)]",[0.5],Positive,Positive
138,"Was here right on time.Wall adapter what I expected and works well but dose Not Have Quick-Charge As This ad states and that was the,Whole reason I chose this chager so that is horribly disappointing and inconvenient ..... The micro usb is useless it looks and acts cheaply made, and dose not fit well in to ports an either end will periodically stop working and my phone will freeze and turn off periodically as well....I know its the usd because I tried it in several devices and adapters and it had the same problems....I Will never order from Amazon Again Only two orders out of 13 have come without Defect or Wrong Probuct!Ugh!","[('turn', 0.0), ('wall', 0.0), ('freeze', 0.0), ('wrong', -0.5), ('well', 0.0), ('stop', 0.0), ('quick', 0.3333333333333333), ('order', 0.0), ('come', 0.0), ('tried', 0.0), ('made', 0.0), ('right', 0.2857142857142857), ('adapted', 0.0), ('whole', 0.2), ('end', 0.0), ('amazon', 0.0), ('reason', 0.0), ('fit', 0.4), ('charge', 0.0), ('expected', -0.1), ('product', 0.0)]","[('wrong', 0.5)]","[('whole', 0.2), ('right', 0.2857142857142857), ('wrong', -0.5), ('fit', 0.4)]",[0.077142857142857152],Negative,Negative
139,I have not had any problems with it.  It just like the oringal charger that comes with the Galaxy S 2.,"[('like', 0.0), ('original', 0.375), ('charge', 0.0), ('galaxy', 0.0)]","[('original', 0.375)]","[('original', 0.375)]",[0.1875],Positive,Positive
140,"I would like to start off by saying that this product is what I ordered and I have no complaints about shipping or the condition of the product when it came to my house, the problem I do have is the micro usb cable that comes with the charger. Why is it that all of the different companies that sell chargers on Amazon can get the plug part of the charger right but not the micro usb cord? The cord is cheap and not the original cord that comes with the other part of the charger. I am having the same issue with the charger that I ordered for my galaxy note 2. It is a veryery thin cord, and also veryery short. Maybe, a 2 21/2 foot cord? And its of a cheaper quality than the part of the charger that the micro usb plugs into...","[('original', 0.375), ('get', 0.0), ('short', 0.0), ('galaxy', 0.0), ('cheap', 0.4), ('different', 0.0), ('note', 0.0), ('came', 0.0), ('condition', 0.0), ('start', 0.0), ('right', 0.2857142857142857), ('foot', 0.0), ('cable', 0.0), ('plug', 0.0), ('ordered', 0.0), ('part', 0.0), ('amazon', 0.0), ('like', 0.0), ('issue', 0.0), ('quality', 0.0), ('charge', 0.0), ('product', 0.0)]","[('cheap', 0.4)]","[('cheap', 0.4), ('original', 0.375), ('right', 0.2857142857142857)]",[0.26517857142857143],Negative,Positive
141,thank you. it did not disappoint. was as expected and does the job though I am going to a new phone as the galaxy 2 has been acting up consistently. shutting down by surprise etc...,"[('disappoint', 0.0), ('surprise', 0.0), ('etc', 0.0), ('galaxy', 0.0), ('expected', -0.1), ('going', 0.0), ('new', 0.13636363636363635)]","[('new', 0.13636363636363635)]","[('new', 0.13636363636363635)]",[0.068181818181818177],Positive,Negative
142,I love it.  It charges my phone quickly and the cord is super long.  I leave it at home but will purchase another to leave at work.,"[('love', 0.5), ('quickly', 0.3333333333333333), ('long', -0.05), ('work', 0.0), ('leave', 0.0), ('purchase', 0.0)]","[('love', 0.5)]","[('quickly', 0.3333333333333333), ('long', -0.05), ('love', 0.5)]",[0.19583333333333333],Positive,Positive
143,"In a nutshell, this is NOT an OEM charger.  Although it has the Samsung markings, it does not seat well with a Samsung phone.  This means that it is either meant for another market or it is counterfeit.  With that said, I would not buy this again.~~~~~~~~~~August 17, 2013 - UpdateThe seller tried to make amends by sending me three replacement chargers.  After using this for a while, it is still garbage.  It does not charge my phone and in fact, it drains the phone.  This must be a counterfeit product.  It has Samsung markings but it does not charge the phone.  DO NOT BUY THIS PRODUCT!!!!","[('well', 0.0), ('samson', 0.0), ('said', 0.0), ('buy', 0.0), ('tried', 0.0), ('charge', 0.0), ('fact', 0.0), ('make', 0.0), ('product', 0.0)]","[('love', 0)]",[],[0.0],Negative,Negative
144,"After 2 weeks my charger just fell apart while i was taking it from the plug , not a strong charger at all i would have asked for my money but it was not even worth it .","[('apart', 0.0), ('charge', 0.0), ('plug', 0.0), ('strong', 0.4333333333333333), ('worth', 0.3)]","[('strong', 0.4333333333333333)]","[('worth', 0.3), ('strong', 0.4333333333333333)]",[0.24444444444444444],Negative,Positive
145,I am pleased with this purchase.  The detachable cable option gives veryery good flexibility for use with other USB cable chargers.  Good quality for a travel charger.,"[('travel', 0.0), ('cable', 0.0), ('quality', 0.0), ('charge', 0.0), ('option', 0.0), ('good', 0.7), ('purchase', 0.0), ('pleased', 0.5), ('use', 0.0)]","[('good', 0.7)]","[('pleased', 0.5), ('good', 0.7)]",[0.39999999999999997],Positive,Positive
146,charges me up all the way. doubles my battery liek promised. case protects well and the color is awesome nice,"[('well', 0.0), ('way', 0.0), ('promised', 0.0), ('like', 0.0), ('color', 0.0), ('nice', 0.6), ('awesome', 1.0)]","[('awesome', 1.0)]","[('nice', 0.6), ('awesome', 1.0)]",[0.53333333333333333],Positive,Positive
147,"The color is amazing all of my friends are jealous and ask me where did I get it. They are even more jealous when I tell them how much I paid for it! Great case, powers me up and VERY stylish. Matches my 5C PERFECTLY :)","[('get', 0.0), ('jealous', 0.0), ('much', 0.2), ('tell', 0.0), ('color', 0.0), ('great', 0.8), ('stylish', 0.5), ('perfectly', 1.0), ('ask', 0.0)]","[('perfectly', 1.0)]","[('great', 0.8), ('stylish', 0.5), ('perfectly', 1.0)]",[0.57499999999999996],Positive,Positive
148,much slimmer than I thought and it ads 125% battery. I am charged for the full day with this case.,"[('much', 0.2), ('full', 0.35), ('charged', 0.0)]","[('full', 0.35)]","[('full', 0.35)]",[0.17499999999999999],Positive,Positive
149,"Great quality product , I love this case it is the perfect sidekick to an always dyeing phone . Now my phone is charged anywhere anytime thanks to powerbear . Really like the name of the case as well !! 5 stars deff !","[('overbear', 0.0), ('well', 0.0), ('anywhere', 0.0), ('love', 0.5), ('perfect', 1.0), ('like', 0.0), ('quality', 0.0), ('name', 0.0), ('great', 0.8), ('really', 0.2), ('charged', 0.0), ('product', 0.0)]","[('perfect', 1.0)]","[('great', 0.8), ('perfect', 1.0), ('really', 0.2), ('love', 0.5)]",[0.5],Positive,Positive
150,This case helps me run my day smoothly without having to worry about my phone dying. Plus the color is veryery beautiful.,"[('run', 0.0), ('color', 0.0), ('worry', 0.0)]","[('perfect', 0)]",[],[0.0],Positive,Negative
151,Bought one for me and another for the wife. Acts as phone protector and charging case in one. Hold charge all day so no complaints.,"[('hold', 0.0), ('charge', 0.0), ('bought', 0.0)]","[('perfect', 0)]",[],[0.0],Positive,Negative
152,"This PowerBear case is a lifesaver!! Charges fast, always reliable. I also love the glossy texture of the case. Highly recommend!!","[('glossy', 0.0), ('overbear', 0.0), ('love', 0.5), ('fast', 0.2), ('reliable', 0.0)]","[('love', 0.5)]","[('fast', 0.2), ('love', 0.5)]",[0.23333333333333331],Positive,Positive
153,"This is a veryery well built and designed case,with a veryery cool and attractive color. Phone dies too quickly without it","[('attractive', 0.8), ('well', 0.0), ('quickly', 0.3333333333333333), ('color', 0.0), ('designed', 0.0), ('cool', 0.35)]","[('attractive', 0.8)]","[('quickly', 0.3333333333333333), ('attractive', 0.8), ('cool', 0.35)]",[0.37083333333333335],Positive,Positive
154,"I was surprised it game in three steps, but when i put the case together and slid my phone in, i loved it. It is hard to get off","[('loved', 0.7), ('hard', -0.2916666666666667), ('get', 0.0), ('surprised', 0.1), ('put', 0.0), ('slid', 0.0)]","[('loved', 0.7)]","[('loved', 0.7)]",[0.34999999999999998],Positive,Positive
155,I was looking for something different to my wife and this case its strong and beautiful. Good price and i recommend it.,"[('different', 0.0), ('price', 0.0), ('strong', 0.4333333333333333), ('good', 0.7)]","[('good', 0.7)]","[('strong', 0.4333333333333333), ('good', 0.7)]",[0.37777777777777777],Positive,Positive
156,"Love it this case is just what I expected and I love the design, it is slim and protects my case more than I thought it would.","[('design', 0.0), ('slim', 0.0), ('expected', -0.1), ('love', 0.5)]","[('love', 0.5)]","[('love', 0.5)]",[0.25],Positive,Positive
157,"this is really cute phone case, i like it alot, and it came in when it stated it would too","[('like', 0.0), ('came', 0.0), ('cut', 0.0), ('really', 0.2)]","[('really', 0.2)]","[('really', 0.2)]",[0.10000000000000001],Positive,Negative
158,"Really cute but the heart does not really show up if you have the white iPhone 4. 3 piece case & fits like a glove, looks really cute. Shipping took about 2-3 weeks but really enjoy the case. Do recommend.","[('enjoy', 0.4), ('piece', 0.0), ('white', 0.0), ('like', 0.0), ('cut', 0.0), ('really', 0.2), ('show', 0.0)]","[('enjoy', 0.4)]","[('really', 0.2), ('enjoy', 0.4)]",[0.20000000000000004],Positive,Positive
159,This one came in broken  The bottom pice snaps on to the sides and the main backing is a inlay piece. Came in scuffed with paint and the pieces will not click in together. If it was not broken I would like it. Also if it was not in three click in pieces,"[('broken', -0.4), ('snap', 0.0), ('piece', 0.0), ('like', 0.0), ('click', 0.0), ('paint', 0.0), ('came', 0.0)]","[('broken', 0.4)]","[('broken', -0.4)]",[-0.20000000000000001],Negative,Negative
160,Great case for my phone. Protects and keeps me charged. easy access to the button and sounds good too. i like it,"[('button', 0.0), ('like', 0.0), ('good', 0.7), ('easy', 0.43333333333333335), ('great', 0.8), ('charged', 0.0), ('access', 0.0)]","[('great', 0.8)]","[('easy', 0.43333333333333335), ('great', 0.8), ('good', 0.7)]",[0.48333333333333334],Positive,Positive
161,Other power cases muffled the speaker sound. This one had a great sound port on the back for clear listening.,"[('sound', 0.4), ('back', 0.0), ('great', 0.8), ('clear', 0.10000000000000002), ('muffled', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
162,"Wow!  What a cute battery case! I saw a Christian sister with one of these on her phone!  That gave ne an idea-I decided to order me and my sister a battery case-mine is white, (since my phone is white), and my sister is is black,(since her phone is blue).Anyway, these little guys give you power for your phone! If we run out juice, especially when on the go, we can just connect this case to our phone, and it is POWER ON THE GO!! (I am just concerned about the functionality).","[('little', -0.1875), ('concerned', 0.0), ('order', 0.0), ('white', 0.0), ('run', 0.0), ('cut', 0.0), ('connect', 0.0), ('black', -0.16666666666666666), ('go', 0.0), ('give', 0.0), ('gave', 0.0)]","[('little', 0.1875)]","[('little', -0.1875)]",[-0.09375],Positive,Negative
163,Great case. Doubled my battery life like promised. Ca not beat the price. I would recommend it for a friend. A+,"[('doubled', 0.0), ('price', 0.0), ('promised', 0.0), ('like', 0.0), ('beat', 0.0), ('friend', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
164,"Great case, sturdy, doubles battery, wont have to worry any more. I purchased this for my kid and he is veryery HAPPY.","[('worry', 0.0), ('sturdy', 0.0), ('happy', 0.8), ('great', 0.8), ('purchased', 0.0)]","[('happy', 0.8)]","[('great', 0.8), ('happy', 0.8)]",[0.53333333333333333],Positive,Positive
165,"Bought one for me and the wife (diff color;phone, not  wife, lol.). Firefighter work 24 hr shift and never know when if will get to recharge so this is perfect for me and anyone else that can not always plug in to charge each day.","[('get', 0.0), ('perfect', 1.0), ('color', 0.0), ('shift', 0.0), ('charge', 0.0), ('bought', 0.0), ('work', 0.0), ('plug', 0.0)]","[('perfect', 1.0)]","[('perfect', 1.0)]",[0.5],Positive,Positive
166,"I used to be obsessed with changing phone cases, but now I am obsessed with THIS phone case!! What a great find !! 5 STARS","[('obsessed', -0.5), ('great', 0.8), ('used', 0.0), ('find', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
167,couldnt watch movies on the htc without the battery dying. the phone is great for entertainment. but battery could be better. the powerbear cases is a great fit and a good kick stand on teh back for entertainment. im sold,"[('watch', 0.0), ('overbear', 0.0), ('etc', 0.0), ('back', 0.0), ('fit', 0.4), ('better', 0.5), ('good', 0.7), ('great', 0.8)]","[('great', 0.8)]","[('fit', 0.4), ('great', 0.8), ('good', 0.7), ('better', 0.5)]",[0.48000000000000009],Positive,Positive
168,This product is great. I like the kickstand on the back. The power indicator is veryery convenient to know charge pack status.,"[('inkstand', 0.0), ('back', 0.0), ('like', 0.0), ('charge', 0.0), ('convenient', 0.0), ('status', 0.0), ('great', 0.8), ('product', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
169,Not Many HTC one battery cases for sale and this one is pretty good for the price. I would give it 4.5 stars and 5 if the price was $5 cheaper.,"[('etc', 0.0), ('price', 0.0), ('good', 0.7), ('many', 0.5), ('give', 0.0)]","[('good', 0.7)]","[('good', 0.7), ('many', 0.5)]",[0.39999999999999997],Positive,Positive
170,"I never do this, but I almost bought this product based off of the amazing sounding fake reviews provided by the shills for PowerBear. If you look at all the positive reviews for this case, you will see that none of them are veryerified purchases and yet every negative review, other than this one of course, is a veryerified purchase. What that means is that everyone who has actually bought and used this product thinks that it is crap. Furthermore, many of the reviewers have posted twice on this product, once per color. Why Amazon allows this is beyond me, but that is not the point. Also, if you look at the profiles of the positive reviewers, you will see that they have posted multiple positive reviews for PowerBear products and many of the reviews are carbon copies of each other. Beware the paid shills!","[('face', 0.0), ('overbear', 0.0), ('review', 0.0), ('positive', 0.22727272727272727), ('amazon', 0.0), ('used', 0.0), ('look', 0.0), ('purchase', 0.0), ('veryerified', 0.0), ('cap', 0.0), ('color', 0.0), ('point', 0.0), ('bought', 0.0), ('many', 0.5), ('see', 0.0), ('almost', 0.0), ('multiple', 0.0), ('twice', 0.0), ('yet', 0.0), ('product', 0.0)]","[('many', 0.5)]","[('positive', 0.22727272727272727), ('many', 0.5)]",[0.24242424242424243],Negative,Positive
171,"This is absolutely amazing, more than doubles my battery life, so I can forget about carrying my charger all the time.For such a good price, this is just the right deal. A++++++++","[('right', 0.2857142857142857), ('price', 0.0), ('charge', 0.0), ('deal', 0.0), ('good', 0.7), ('forget', 0.0)]","[('good', 0.7)]","[('right', 0.2857142857142857), ('good', 0.7)]",[0.32857142857142857],Positive,Positive
172,Bought case for me and wife to qualify for free shipping. Came in different colors to match phone.  Can go entire 24 hours without charging; but I am not a kid playing games all day long. No complaints or problems. (Personally I wrote another review in the wrong spot since we had diff phones and diff colors I f&%$ up),"[('entire', 0.0), ('different', 0.0), ('free', 0.4), ('review', 0.0), ('go', 0.0), ('spot', 0.0), ('bought', 0.0), ('long', -0.05), ('wrong', -0.5), ('came', 0.0), ('match', 0.0)]","[('wrong', 0.5)]","[('free', 0.4), ('wrong', -0.5), ('long', -0.05)]",[-0.037499999999999992],Positive,Negative
173,"Since I am always on my phone, the battery life is veryery short. After purchasing this battery case I am no longer worried about running out of battery life.","[('short', 0.0), ('worried', 0.0)]","[('wrong', 0)]",[],[0.0],Positive,Negative
174,"Watch-out, all these positive reviews are fake. Some have even reviewed it twice using the same name. What a sleazy way to sell an item.","[('watch', 0.0), ('face', 0.0), ('positive', 0.22727272727272727), ('steady', 0.16666666666666666), ('way', 0.0), ('name', 0.0), ('twice', 0.0)]","[('positive', 0.22727272727272727)]","[('positive', 0.22727272727272727)]",[0.11363636363636363],Negative,Negative
175,"My brother just got the HTC One, and I promised him an awesome case like the one I have for my S4.Super sleek look, fits well, does not get overheated and saves the day every now and then! Especially when GPS is needed!","[('well', 0.0), ('get', 0.0), ('etc', 0.0), ('needed', 0.0), ('got', 0.0), ('promised', 0.0), ('look', 0.0), ('like', 0.0), ('sleek', 0.0), ('gas', 0.0), ('awesome', 1.0)]","[('awesome', 1.0)]","[('awesome', 1.0)]",[0.5],Positive,Positive
176,The color pops out so well. Clips well to my phone and charges me up. I cant complain! No cons!,"[('can', 0.0), ('complain', 0.0), ('color', 0.0), ('well', 0.0)]","[('awesome', 0)]",[],[0.0],Positive,Negative
177,The raised edges protect the screens from falls. The battery case looks stylish and charges me up. This case is fannnnntastic,"[('stylish', 0.5)]","[('stylish', 0.5)]","[('stylish', 0.5)]",[0.25],Positive,Positive
178,fits well on the phone and it is easy to use. the price is unbeatable and the product works like advertised,"[('well', 0.0), ('price', 0.0), ('like', 0.0), ('unbearable', 0.0), ('easy', 0.43333333333333335), ('product', 0.0), ('use', 0.0)]","[('easy', 0.43333333333333335)]","[('easy', 0.43333333333333335)]",[0.21666666666666667],Positive,Positive
179,The S5 is a fantastic phone. However because of its large screen the phone dies quickly. With the extended battery I am able to enjoy all of the phones features without losing power. Great buy.,"[('extended', 0.0), ('enjoy', 0.4), ('quickly', 0.3333333333333333), ('buy', 0.0), ('able', 0.5), ('large', 0.21428571428571427), ('screen', 0.0), ('great', 0.8), ('fantastic', 0.4)]","[('great', 0.8)]","[('able', 0.5), ('quickly', 0.3333333333333333), ('great', 0.8), ('enjoy', 0.4)]",[0.40666666666666662],Positive,Positive
180,"Totally worth the money, It protects my phone in even of the most dangerous situations where I dropped my phone and it also keeps my battery going for Days. BRAVO!","[('worth', 0.3), ('dropped', 0.0), ('going', 0.0)]","[('worth', 0.3)]","[('worth', 0.3)]",[0.14999999999999999],Positive,Positive
181,"I got this case for my nephew, and he claims that it was not what he expected. He has a charge case for his last phone, and it covered the whole thing. This is just like a back of the phone replacement, so it does not add to much weight","[('whole', 0.2), ('back', 0.0), ('got', 0.0), ('like', 0.0), ('much', 0.2), ('charge', 0.0), ('weight', 0.0), ('last', 0.0), ('add', 0.0), ('expected', -0.1)]","[('whole', 0.2)]","[('whole', 0.2)]",[0.10000000000000001],Positive,Negative
182,"This is a really great case, looks and feels amazing, not to mention that the battery lasts for many hours.","[('many', 0.5), ('great', 0.8), ('really', 0.2), ('mention', 0.0)]","[('great', 0.8)]","[('great', 0.8), ('really', 0.2), ('many', 0.5)]",[0.375],Positive,Positive
183,"I think this case is an excellent choice, since it is not so bulky, the color is nice, the texture on the back is good for gripping, and it extends battery life. It is a life saver, and there is not too much on the market at the time for this phone so I am happy with it. Bought both blue and black for me and my brother right after we got home from the phone store. Would recommend.","[('right', 0.2857142857142857), ('back', 0.0), ('choice', 0.0), ('got', 0.0), ('excellent', 1.0), ('much', 0.2), ('nice', 0.6), ('color', 0.0), ('save', 0.0), ('happy', 0.8), ('good', 0.7), ('bought', 0.0), ('black', -0.16666666666666666), ('think', 0.0)]","[('excellent', 1.0)]","[('right', 0.2857142857142857), ('excellent', 1.0), ('nice', 0.6), ('happy', 0.8), ('good', 0.7)]",[0.56428571428571439],Positive,Positive
184,compre este Case hace veryarios meses y protege el celular de manera excelente..ni siquiera tube que comprar protector de pantalla y gracias a dios mi cel este nuevo..,"[('excellent', 1.0), ('compare', 0.0), ('manner', 0.0), ('have', 0.0)]","[('excellent', 1.0)]","[('excellent', 1.0)]",[0.5],Positive,Positive
185,I was looking for a case for my new Galaxy S2 (At&t veryersion). The store was selling similar cases for $20 and $35. I just can not justify spending that much on a case. This case is made for the unlocked veryersion of the Galaxy S2. The size is the same. The only difference that I can see is the noise cancelling microphone is blocked. I drilled a little hole in the case and it works just fine,"[('little', -0.1875), ('made', 0.0), ('noise', 0.0), ('size', 0.0), ('galaxy', 0.0), ('much', 0.2), ('see', 0.0), ('fine', 0.4166666666666667), ('new', 0.13636363636363635)]","[('fine', 0.4166666666666667)]","[('little', -0.1875), ('fine', 0.4166666666666667), ('new', 0.13636363636363635)]",[0.09138257575757576],Positive,Negative
186,i was raving to a friend about how amazon has great phone cases and how cheap they are and bought him this. it did not even fit his phone right. poorly made.,"[('made', 0.0), ('right', 0.2857142857142857), ('amazon', 0.0), ('fit', 0.4), ('cheap', 0.4), ('bought', 0.0), ('friend', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('cheap', 0.4), ('great', 0.8), ('right', 0.2857142857142857), ('fit', 0.4)]",[0.37714285714285711],Negative,Positive
187,"nice case, protective and good looking, it also has a nice changing texture in some areas. good buy for the price","[('nice', 0.6), ('price', 0.0), ('good', 0.7), ('buy', 0.0)]","[('good', 0.7)]","[('nice', 0.6), ('good', 0.7)]",[0.43333333333333329],Positive,Positive
188,"Bought this for my new AT&T; Galaxy SII, the case arrived super fast, its fits the phone perfectly and snug. I have no issues with any buttons, and the rubber is in a smooth, sort of laminated finish. It does not stick to your pockets. Overall, I am extremely happy with the purchase, especially for so cheap.And just FYI: This is for the AT&T; (i777), or International (i9100) Galaxy SII.This WILL NOT FIT Sprint, T-Mobile or the AT&T; Galaxy SII Skyrocket phones. You have been warned.","[('mobile', 0.0), ('stick', 0.0), ('fast', 0.2), ('galaxy', 0.0), ('finish', 0.0), ('smooth', 0.4), ('cheap', 0.4), ('happy', 0.8), ('fit', 0.4), ('bought', 0.0), ('overall', 0.0), ('purchase', 0.0), ('perfectly', 1.0), ('spring', 0.0), ('new', 0.13636363636363635)]","[('perfectly', 1.0)]","[('fast', 0.2), ('fit', 0.4), ('cheap', 0.4), ('happy', 0.8), ('perfectly', 1.0), ('new', 0.13636363636363635)]",[0.41948051948051945],Positive,Positive
189,"I liked the case, and for the amount of money paid, its a good buy, i personally like stronger cases, this is veryery flexible and indeed looks like a hard case, a little bit of more firmness wouldnt hurt.Protects VERY well the phone as well as the camera lens there is not one single part of the phone touching the surface of the table when i leave it there. Very Good purchase.","[('little', -0.1875), ('liked', 0.6), ('hard', -0.2916666666666667), ('bit', 0.0), ('well', 0.0), ('single', -0.07142857142857142), ('buy', 0.0), ('like', 0.0), ('amount', 0.0), ('surface', 0.0), ('hurt', 0.0), ('good', 0.7), ('leave', 0.0), ('purchase', 0.0), ('table', 0.0), ('part', 0.0)]","[('good', 0.7)]","[('little', -0.1875), ('liked', 0.6), ('good', 0.7)]",[0.27812499999999996],Positive,Positive
